old,new,english,speaker
"ようこそおいでくださいました
さぁ、ゆっくり休んでいってくださいね",,,Ingrid
"ご宿泊は<VAL PRICE_INN>です
ロスギル名物、翡翠湖で採れた魚を使った
お粥もサービスしますよ！
きっと身も心も癒されるはずです",,,Ingrid
はい,Yes,,Ingrid
いいえ,No,,Ingrid
"ええ、どうぞこのロスギルで
長旅の疲れを癒してください
干し魚を使ったお粥、この辺りの名物なんです
こちらも、よかったら食べていってくださいね！",,,Ingrid
はい,Yes,,Ingrid
いいえ,No,,Ingrid
"《弱化の治療》ですね！
はい、もちろん承っていますとも
<VAL PRICE_WEAK>ですが、よろしいですか？",,,Ingrid
はい,Yes,,Ingrid
いいえ,No,,Ingrid
"あら、弱化していらっしゃいませんよ？
弱化していないものを治療しろとは――
謎かけみたいですね、フフフ",,,Ingrid
"ロスギルの見どころ、ですか？
それはもちろん、翡翠湖です！
美しい滝もご覧いただけますよ",,,Ingrid
"翡翠湖で採れる魚は
ロスギルの食生活を支えてくれています
煮てよし、焼いてよし、干してよし、なんです",,,Ingrid
"こうしてお仕事をし始めたのも
最近のことなんです
今はどこも大変ですからね",,,Ingrid
